Debtor_ID,Debtor_Name,Billing_Month,Original_Debt,Amount_Paid,Cost_To_Acquire,Is_Blacklisted,Has_External_Debts,Remaining_Balance,Net_Profit,Days_Past_Due,Critical_Alert,Risk_Tier
1,Debtor_0001,2025-04-01,11020.27,3284.61,357.1,FALSE,FALSE,7735.66,2927.51,479,FALSE,Watch
2,Debtor_0002,2025-12-01,11276.37,2906.82,398.09,FALSE,FALSE,8369.55,2508.73,235,FALSE,Watch
3,Debtor_0003,2025-07-01,3790.6,550.78,293.51,FALSE,FALSE,3239.82,257.27,388,FALSE,Watch
4,Debtor_0004,2025-01-01,10050.15,4480.36,186.67,FALSE,FALSE,5569.79,4293.69,569,FALSE,Watch
5,Debtor_0005,2025-08-01,7880.07,4325.34,422.23,FALSE,FALSE,3554.73,3903.11,357,FALSE,Watch
6,Debtor_0006,2025-05-01,6469.6,1835.59,345.34,FALSE,TRUE,4634.01,1490.25,449,TRUE,Critical
7,Debtor_0007,2025-08-01,8970.77,3588.45,66.06,TRUE,FALSE,5382.32,3522.39,357,TRUE,Severe
8,Debtor_0008,2025-02-01,2048.67,1428.64,84.36,FALSE,FALSE,620.03,1344.28,538,FALSE,Watch
9,Debtor_0009,2025-08-01,8055.41,1337.23,375.7,FALSE,TRUE,6718.18,961.53,357,TRUE,Severe
10,Debtor_0010,2025-02-01,8608.25,3193.31,365.16,FALSE,FALSE,5414.94,2828.15,538,FALSE,Watch
11,Debtor_0011,2025-05-01,5764.03,4135.44,63.41,TRUE,FALSE,1628.59,4072.03,449,TRUE,Critical
12,Debtor_0012,2025-10-01,8769.79,2532.91,412.12,FALSE,TRUE,6236.88,2120.79,296,TRUE,Severe
13,Debtor_0013,2025-12-01,11248.73,4352.34,335.87,FALSE,FALSE,6896.39,4016.47,235,FALSE,Watch
14,Debtor_0014,2025-03-01,3437.43,1301.45,410.11,FALSE,TRUE,2135.98,891.34,510,TRUE,Critical
15,Debtor_0015,2025-10-01,5816.37,1182.25,259.64,FALSE,TRUE,4634.12,922.61,296,TRUE,Critical
16,Debtor_0016,2025-02-01,11310.17,3329.5,182.9,FALSE,FALSE,7980.67,3146.6,538,FALSE,Watch
17,Debtor_0017,2025-02-01,11749.6,4613.37,381.65,FALSE,TRUE,7136.23,4231.72,538,TRUE,Severe
18,Debtor_0018,2025-02-01,1851.1,557.7,364.03,FALSE,FALSE,1293.4,193.67,538,FALSE,Watch
19,Debtor_0019,2025-01-01,5962.47,4143.29,257.88,FALSE,FALSE,1819.18,3885.41,569,FALSE,Watch
20,Debtor_0020,2025-08-01,6943.83,1988.28,359.27,FALSE,FALSE,4955.55,1629.01,357,FALSE,Watch
21,Debtor_0021,2025-03-01,10896.36,3235.7,63.93,FALSE,FALSE,7660.66,3171.77,510,FALSE,Watch
22,Debtor_0022,2025-08-01,2095.17,1223.27,227.83,TRUE,FALSE,871.9,995.44,357,TRUE,Critical
23,Debtor_0023,2025-04-01,11872.25,2053.15,49.16,FALSE,FALSE,9819.1,2003.99,479,FALSE,Watch
24,Debtor_0024,2025-03-01,11386.68,4438.98,343.35,TRUE,FALSE,6947.7,4095.63,510,TRUE,Severe
25,Debtor_0025,2025-02-01,1448.03,144.14,329.35,FALSE,FALSE,1303.89,-185.21,538,FALSE,Watch
26,Debtor_0026,2025-05-01,6413.44,2139.01,42.34,FALSE,FALSE,4274.43,2096.67,449,FALSE,Watch
27,Debtor_0027,2025-04-01,4987.34,1442.53,233.01,FALSE,FALSE,3544.81,1209.52,479,FALSE,Watch
28,Debtor_0028,2025-03-01,10915.99,4345.17,284.43,FALSE,TRUE,6570.82,4060.74,510,TRUE,Severe
29,Debtor_0029,2025-10-01,5640.15,1240.65,156.44,FALSE,FALSE,4399.5,1084.21,296,FALSE,Watch
30,Debtor_0030,2025-11-01,10114.05,2780.13,62.64,FALSE,FALSE,7333.92,2717.49,265,FALSE,Watch
31,Debtor_0031,2025-02-01,8982.35,3205.29,194.93,FALSE,TRUE,5777.06,3010.36,538,TRUE,Severe
32,Debtor_0032,2025-08-01,9827.13,1673.52,257.39,FALSE,TRUE,8153.61,1416.13,357,TRUE,Severe
33,Debtor_0033,2025-08-01,4963.25,2191.66,142.9,FALSE,FALSE,2771.59,2048.76,357,FALSE,Watch
34,Debtor_0034,2025-10-01,8379.45,2621.78,427.08,TRUE,FALSE,5757.67,2194.7,296,TRUE,Severe
35,Debtor_0035,2025-02-01,545.41,302.67,219.37,FALSE,FALSE,242.74,83.3,538,FALSE,Watch
36,Debtor_0036,2025-06-01,10078.53,7798.49,327.44,FALSE,FALSE,2280.04,7471.05,418,FALSE,Watch
37,Debtor_0037,2025-04-01,584.34,107.57,112.1,FALSE,FALSE,476.77,-4.53,479,FALSE,Watch
38,Debtor_0038,2025-07-01,2888.08,1497.42,139.21,FALSE,FALSE,1390.66,1358.21,388,FALSE,Watch
39,Debtor_0039,2025-01-01,10925.92,4604.94,49.71,FALSE,FALSE,6320.98,4555.23,569,FALSE,Watch
40,Debtor_0040,2025-12-01,7535.45,4803.32,174.8,FALSE,TRUE,2732.13,4628.52,235,TRUE,Critical
41,Debtor_0041,2025-07-01,4864.93,1672.91,209.37,FALSE,FALSE,3192.02,1463.54,388,FALSE,Watch
42,Debtor_0042,2025-04-01,5511.37,3425.87,84.59,FALSE,FALSE,2085.5,3341.28,479,FALSE,Watch
43,Debtor_0043,2025-03-01,930.46,72.05,389.34,FALSE,FALSE,858.41,-317.29,510,FALSE,Watch
44,Debtor_0044,2025-07-01,11695.71,9708,43.71,FALSE,FALSE,1987.71,9664.29,388,FALSE,Watch
45,Debtor_0045,2025-09-01,5465.14,3438.52,437.6,FALSE,FALSE,2026.62,3000.92,326,FALSE,Watch
46,Debtor_0046,2025-03-01,11512.13,4176.84,369.91,FALSE,TRUE,7335.29,3806.93,510,TRUE,Severe
47,Debtor_0047,2025-05-01,10709.18,1207.59,245.43,FALSE,FALSE,9501.59,962.16,449,FALSE,Watch
48,Debtor_0048,2025-11-01,7859.76,4474.4,423.01,FALSE,FALSE,3385.36,4051.39,265,FALSE,Watch
49,Debtor_0049,2025-11-01,11666.12,6138.09,231.82,FALSE,FALSE,5528.03,5906.27,265,FALSE,Watch
50,Debtor_0050,2025-12-01,7616.64,3034.53,249.5,FALSE,FALSE,4582.11,2785.03,235,FALSE,Watch
51,Debtor_0051,2025-01-01,4334.41,1900.83,381.21,FALSE,FALSE,2433.58,1519.62,569,FALSE,Watch
52,Debtor_0052,2025-02-01,4487.6,1184.84,105.87,FALSE,TRUE,3302.76,1078.97,538,TRUE,Critical
53,Debtor_0053,2025-04-01,5082.58,2518.68,253.76,FALSE,FALSE,2563.9,2264.92,479,FALSE,Watch
